dataset_label,model_label,params_m,accuracy_mean,accuracy_sd,balanced_accuracy_mean,macro_f1_mean,auroc_mean,normalized_log_epsilon_auc_mean,normalized_log_epsilon_auc_sd,critical_epsilon_255_mean,critical_epsilon_255_n_observed,critical_epsilon_255_n_censored,robust_accuracy_0.1_255_mean,robust_accuracy_8_255_mean,relative_accuracy_drop_8_255_mean,n_seeds,n_monotonic_adjustments
Chest X-ray,ResNet-18,11.7,0.8125,0.013970829947245762,0.7508547008547009,0.7686620675195045,0.9572850463876105,0.02307808006325902,0.0036299881907332385,0.10000000000000002,3,0,0.3649983284280951,0.0,1.0,3,0
Chest X-ray,ResNet-34,21.8,0.8333333333333334,0.016264249303032406,0.778917378917379,0.7988557524025423,0.952372342756958,0.030944521895221972,0.017877416929271153,0.11666666666666665,3,0,0.37190881794944336,0.0,1.0,3,0
Chest X-ray,ResNet-50,25.6,0.8685897435897436,0.02623510503805274,0.827065527065527,0.8468006827216397,0.9725893052816129,0.0013303922973864747,0.0013661054156287307,0.10000000000000002,3,0,0.024954805623950607,0.0,1.0,3,2
Chest X-ray,ResNet-101,44.5,0.826923076923077,0.012719958226272088,0.7715099715099715,0.7907653804810546,0.9604810431733508,0.005485295612693915,0.003986329317283715,0.10000000000000002,3,0,0.06175449517038784,0.0,1.0,3,4
Chest X-ray,ResNet-152,60.2,0.8392094017094017,0.012028130608117216,0.7873219373219373,0.807543585859175,0.9647746365695085,0.050266851643180434,0.03830788848299121,0.10000000000000002,3,0,0.3767442027626413,0.0,1.0,3,2
Malaria,ResNet-18,11.7,0.9716903229681454,0.010477534036183865,0.9724638907183275,0.9713334379842494,0.9947496954667053,0.23097923842183096,0.026452629048316016,0.5,3,0,0.9452922192818859,0.0,1.0,3,0
Malaria,ResNet-34,21.8,0.971723086637858,0.011929555524656467,0.9720369508735885,0.97133165818631,0.9935964495571392,0.1543835233166102,0.03563141862802676,0.31666666666666665,3,0,0.8658665650664634,0.0,1.0,3,0
Malaria,ResNet-50,25.6,0.9705485431507155,0.008441311997013002,0.9710931831068734,0.9701613183856788,0.9942058691913411,0.10152867690902682,0.004059437901985639,0.20000000000000004,3,0,0.7512942982052312,0.0,1.0,3,0
Malaria,ResNet-101,44.5,0.9712524856294111,0.009628174304015677,0.9712579378520697,0.970842839813424,0.9939711691271585,0.08879334634307906,0.03530440443326152,0.16666666666666666,3,0,0.6437912303390699,0.0,1.0,3,1
Malaria,ResNet-152,60.2,0.9722705781595588,0.00782439908151705,0.972406163657792,0.9718823090077581,0.9944087347486215,0.2744692126110512,0.01658942827442221,0.5,3,0,0.9507419971701182,0.0,1.0,3,0
OCT,ResNet-18,11.7,0.9955234159779613,0.0015780219335247512,0.9955234159779613,0.9955240657486888,0.9999701181613277,0.039379473561749256,0.01700355422237092,0.11666666666666665,3,0,0.47394612991972873,0.0,1.0,3,0
OCT,ResNet-34,21.8,0.9962121212121212,0.001192872457003323,0.9962121212121212,0.9962141234075151,0.9999900393871094,0.03581146957843346,0.009406739407280772,0.10000000000000002,3,0,0.38917674150834775,0.0,1.0,3,0
OCT,ResNet-50,25.6,0.9962121212121212,0.0031560438670494902,0.9962121212121212,0.9962176257332057,0.9999535171398432,0.01638199170636908,0.012723381292996536,0.10000000000000002,3,0,0.18959629667459152,0.0,1.0,3,0
OCT,ResNet-101,44.5,0.9965564738292011,0.0015780219335246907,0.9965564738292011,0.9965549846907537,0.9999824503487162,0.021847954274231224,0.017706717535320337,0.10000000000000002,3,0,0.1735589002625234,0.0006922810661128418,0.9993077189338871,3,1
OCT,ResNet-152,60.2,0.9972451790633609,0.0005964362285016615,0.997245179063361,0.9972465241934989,0.9999962054808037,0.06780716390606334,0.01289417323598186,0.15,3,0,0.6091190279520985,0.0,1.0,3,0
