dataset,dataset_label,model,model_label,seed,attack,epsilon_255,conditional_robust_accuracy,source_count,sources
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,0.1,0.6963249516441006,2,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,0.25,0.586073500967118,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,0.5,0.5435203094777563,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,1.0,0.574468085106383,2,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,0.1,0.3617021276595745,2,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,0.25,0.005802707930367505,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,0.5,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,1.0,0.0,2,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,0.15,0.632495164410058,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,0.2,0.6054158607350096,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,0.15,0.09864603481624758,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,0.2,0.02127659574468085,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,2.0,0.6460348162475822,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,4.0,0.7504835589941973,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,8.0,0.7524177949709865,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,FGSM,16.0,0.7524177949709865,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,2.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,4.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,8.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed42,PGD,16.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,0.1,0.68389662027833,2,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,0.15,0.6361829025844931,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,0.2,0.610337972166998,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,0.25,0.5785288270377733,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,0.5,0.5387673956262425,1,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed43,FGSM,1.0,0.5526838966202783,2,results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet18/robustness/seed43/robustness_attacks_main_max1024.json
