dataset,dataset_label,model,model_label,seed,epsilon_255,fgsm,pgd,attack_set_min,audited_envelope,adjusted_for_nonmonotonicity,max_pgd_rebound
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,0.1,0.7085714285714285,0.09714285714285714,0.09714285714285714,0.09714285714285714,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,0.15,0.6971428571428572,0.04,0.04,0.04,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,0.2,0.6952380952380952,0.02857142857142857,0.02857142857142857,0.02857142857142857,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,0.25,0.699047619047619,0.013333333333333334,0.013333333333333334,0.013333333333333334,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,0.5,0.7161904761904762,0.0019047619047619048,0.0019047619047619048,0.0019047619047619048,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,1.0,0.7352380952380952,0.0,0.0,0.0,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,2.0,0.7352380952380952,0.0038095238095238095,0.0038095238095238095,0.0,True,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,4.0,0.7352380952380952,0.0,0.0,0.0,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,8.0,0.6876190476190476,0.0,0.0,0.0,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed42,16.0,0.33714285714285713,0.0,0.0,0.0,False,0.0038095238095238095
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,0.1,0.7192982456140351,0.01949317738791423,0.01949317738791423,0.01949317738791423,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,0.15,0.723196881091618,0.009746588693957114,0.009746588693957114,0.009746588693957114,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,0.2,0.7309941520467836,0.001949317738791423,0.001949317738791423,0.001949317738791423,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,0.25,0.723196881091618,0.0,0.0,0.0,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,0.5,0.7446393762183235,0.0,0.0,0.0,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,1.0,0.7758284600389863,0.0,0.0,0.0,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,2.0,0.8011695906432749,0.0,0.0,0.0,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,4.0,0.7797270955165692,0.0,0.0,0.0,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,8.0,0.7563352826510721,0.0,0.0,0.0,False,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed43,16.0,0.7543859649122807,0.021442495126705652,0.021442495126705652,0.0,True,0.021442495126705652
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,0.1,0.7215686274509804,0.06862745098039216,0.06862745098039216,0.06862745098039216,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,0.15,0.6941176470588235,0.025490196078431372,0.025490196078431372,0.025490196078431372,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,0.2,0.6843137254901961,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,0.25,0.6764705882352942,0.00392156862745098,0.00392156862745098,0.00392156862745098,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,0.5,0.6784313725490196,0.00196078431372549,0.00196078431372549,0.00196078431372549,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,1.0,0.7098039215686275,0.0,0.0,0.0,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,2.0,0.7666666666666667,0.0,0.0,0.0,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,4.0,0.7607843137254902,0.0,0.0,0.0,False,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,8.0,0.7607843137254902,0.00196078431372549,0.00196078431372549,0.0,True,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,seed44,16.0,0.7607843137254902,0.08431372549019608,0.08431372549019608,0.0,True,0.0823529411764706
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,0.1,0.7422480620155039,0.312015503875969,0.312015503875969,0.312015503875969,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,0.15,0.6996124031007752,0.11434108527131782,0.11434108527131782,0.11434108527131782,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,0.2,0.6821705426356589,0.03488372093023256,0.03488372093023256,0.03488372093023256,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,0.25,0.6763565891472868,0.015503875968992248,0.015503875968992248,0.015503875968992248,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,0.5,0.6802325581395349,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,1.0,0.687984496124031,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,2.0,0.7306201550387597,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,4.0,0.7558139534883721,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,8.0,0.7538759689922481,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed42,16.0,0.7538759689922481,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.1,0.7175141242937854,0.3220338983050847,0.3220338983050847,0.3220338983050847,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.15,0.704331450094162,0.16760828625235405,0.16760828625235405,0.16760828625235405,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.2,0.6949152542372882,0.08097928436911488,0.08097928436911488,0.08097928436911488,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.25,0.6836158192090396,0.04519774011299435,0.04519774011299435,0.04519774011299435,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,0.5,0.6685499058380414,0.005649717514124294,0.005649717514124294,0.005649717514124294,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,1.0,0.6610169491525424,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,2.0,0.6817325800376648,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,4.0,0.711864406779661,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,8.0,0.736346516007533,0.0,0.0,0.0,False,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed43,16.0,0.7269303201506592,0.0018832391713747645,0.0018832391713747645,0.0,True,0.0018832391713747645
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.1,0.7652671755725191,0.4961832061068702,0.4961832061068702,0.4961832061068702,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.15,0.7347328244274809,0.3950381679389313,0.3950381679389313,0.3950381679389313,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.2,0.7194656488549618,0.3053435114503817,0.3053435114503817,0.3053435114503817,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.25,0.7099236641221374,0.22137404580152673,0.22137404580152673,0.22137404580152673,False,0.07061068702290077
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,seed44,0.5,0.7022900763358778,0.07633587786259542,0.07633587786259542,0.07633587786259542,False,0.07061068702290077
