dataset,model,method,seed,n_samples,nb_classes,clean_accuracy,autoattack_robust_accuracy_8_255,pgd50_robust_accuracy_8_255_same_subset,audited_min_robust_accuracy_8_255,autoattack_binds,pgd50_robust_accuracy_8_255_published,max_perturbation_linf,seconds,seconds_pgd50,gpu,timestamp
chest_xray_pneumonia,convnext_tiny,PGD-AT,42,256,2,0.625,0.0,0.015625,0.0,True,0.00641,0.0313725769519805,114.5,146.9,NVIDIA GeForce RTX 5090,2026-07-26T21:05:44
chest_xray_pneumonia,convnext_tiny,TRADES,42,256,2,0.625,0.171875,0.625,0.171875,True,,0.0313725769519805,435.7,142.3,NVIDIA GeForce RTX 5090,2026-07-26T21:15:25
chest_xray_pneumonia,deit_small,PGD-AT,42,256,2,0.375,0.109375,0.27734375,0.109375,True,0.262821,0.0313725769519805,225.9,88.2,NVIDIA GeForce RTX 5090,2026-07-26T21:20:43
chest_xray_pneumonia,deit_small,TRADES,42,256,2,0.625,0.625,0.625,0.625,False,,0.0,1426.1,88.8,NVIDIA GeForce RTX 5090,2026-07-26T21:46:01
chest_xray_pneumonia,resnet101,PGD-AT,42,256,2,0.375,0.0,0.30859375,0.0,True,0.0,0.0313725769519805,60.4,129.2,NVIDIA GeForce RTX 5090,2026-07-26T21:49:15
chest_xray_pneumonia,resnet101,PGD-AT,43,256,2,0.625,0.0,0.0,0.0,False,0.0,0.0313725769519805,99.9,128.5,NVIDIA GeForce RTX 5090,2026-07-26T21:53:07
chest_xray_pneumonia,resnet101,PGD-AT,44,256,2,0.37890625,0.0,0.2578125,0.0,True,0.0,0.0313725769519805,65.4,118.7,NVIDIA GeForce RTX 5090,2026-07-26T21:56:15
chest_xray_pneumonia,resnet152,MART,42,256,2,0.82421875,0.703125,0.703125,0.703125,False,0.713141,0.0313725769519805,1933.9,150.8,NVIDIA GeForce RTX 5090,2026-07-26T22:31:04
chest_xray_pneumonia,resnet152,PGD-AT,42,256,2,0.796875,0.62109375,0.62890625,0.62109375,True,0.649038,0.0313725769519805,1737.1,155.7,NVIDIA GeForce RTX 5090,2026-07-26T23:02:41
chest_xray_pneumonia,resnet152,TRADES,42,256,2,0.75,0.65625,0.66015625,0.65625,True,0.657051,0.0313725769519805,1845.9,153.0,NVIDIA GeForce RTX 5090,2026-07-26T23:36:04
chest_xray_pneumonia,resnet152,MART,43,256,2,0.796875,0.6796875,0.6796875,0.6796875,False,0.679487,0.0313725769519805,1908.9,151.9,NVIDIA GeForce RTX 5090,2026-07-27T00:10:29
chest_xray_pneumonia,resnet152,PGD-AT,43,256,2,0.83984375,0.6796875,0.6796875,0.6796875,False,0.682692,0.0313725769519805,1910.1,152.7,NVIDIA GeForce RTX 5090,2026-07-27T00:44:57
chest_xray_pneumonia,resnet152,TRADES,43,256,2,0.7265625,0.6484375,0.6484375,0.6484375,False,0.657051,0.0313725769519805,1824.1,151.7,NVIDIA GeForce RTX 5090,2026-07-27T01:17:57
chest_xray_pneumonia,resnet152,MART,44,256,2,0.80078125,0.67578125,0.67578125,0.67578125,False,0.68109,0.0313725769519805,1855.9,144.1,NVIDIA GeForce RTX 5090,2026-07-27T01:51:21
chest_xray_pneumonia,resnet152,PGD-AT,44,256,2,0.80078125,0.640625,0.640625,0.640625,False,0.663462,0.0313725769519805,1797.9,153.5,NVIDIA GeForce RTX 5090,2026-07-27T02:23:57
chest_xray_pneumonia,resnet152,TRADES,44,256,2,0.72265625,0.63671875,0.63671875,0.63671875,False,0.657051,0.0313725769519805,1864.9,145.6,NVIDIA GeForce RTX 5090,2026-07-27T02:57:32
chest_xray_pneumonia,resnet18,MART,42,256,2,0.78125,0.6171875,0.6171875,0.6171875,False,0.629808,0.0313725769519805,1390.3,48.4,NVIDIA GeForce RTX 5090,2026-07-27T03:21:34
chest_xray_pneumonia,resnet18,PGD-AT,42,256,2,0.6171875,0.0,0.0,0.0,False,0.0,0.0313725769519805,78.0,56.5,NVIDIA GeForce RTX 5090,2026-07-27T03:23:52
chest_xray_pneumonia,resnet18,TRADES,42,256,2,0.76171875,0.6171875,0.6171875,0.6171875,False,0.61859,0.0313725769519805,1349.3,49.5,NVIDIA GeForce RTX 5090,2026-07-27T03:47:14
chest_xray_pneumonia,resnet18,MART,43,256,2,0.80859375,0.609375,0.609375,0.609375,False,0.629808,0.0313725769519805,1320.1,56.5,NVIDIA GeForce RTX 5090,2026-07-27T04:10:14
chest_xray_pneumonia,resnet18,PGD-AT,43,256,2,0.625,0.0,0.0,0.0,False,0.0,0.0313725769519805,74.2,56.3,NVIDIA GeForce RTX 5090,2026-07-27T04:12:28
chest_xray_pneumonia,resnet18,TRADES,43,256,2,0.72265625,0.63671875,0.63671875,0.63671875,False,0.63141,0.0313725769519805,1328.0,55.0,NVIDIA GeForce RTX 5090,2026-07-27T04:35:35
chest_xray_pneumonia,resnet18,MART,44,256,2,0.78125,0.59765625,0.59765625,0.59765625,False,0.623397,0.0313725769519805,1282.9,55.5,NVIDIA GeForce RTX 5090,2026-07-27T04:57:56
chest_xray_pneumonia,resnet18,PGD-AT,44,256,2,0.625,0.0,0.0,0.0,False,0.0,0.0313725769519805,73.2,56.2,NVIDIA GeForce RTX 5090,2026-07-27T05:00:09
chest_xray_pneumonia,resnet18,TRADES,44,256,2,0.69140625,0.60546875,0.60546875,0.60546875,False,0.615385,0.0313725769519805,1282.9,56.6,NVIDIA GeForce RTX 5090,2026-07-27T05:22:32
chest_xray_pneumonia,resnet34,PGD-AT,42,256,2,0.61328125,0.0,0.0,0.0,False,0.0,0.0313725769519805,77.1,76.9,NVIDIA GeForce RTX 5090,2026-07-27T05:25:10
chest_xray_pneumonia,resnet34,PGD-AT,43,256,2,0.625,0.0,0.0,0.0,False,0.0,0.0313725769519805,77.5,77.1,NVIDIA GeForce RTX 5090,2026-07-27T05:27:48
chest_xray_pneumonia,resnet34,PGD-AT,44,256,2,0.59375,0.00390625,0.0,0.0,False,0.0,0.0313725769519805,73.9,78.0,NVIDIA GeForce RTX 5090,2026-07-27T05:30:23
chest_xray_pneumonia,resnet50,MART,42,256,2,0.81640625,0.59375,0.59765625,0.59375,True,0.613782,0.0313725769519805,1404.4,91.3,NVIDIA GeForce RTX 5090,2026-07-27T05:55:23
chest_xray_pneumonia,resnet50,PGD-AT,42,256,2,0.765625,0.49609375,0.51171875,0.49609375,True,0.50641,0.0313725769519805,1185.2,92.0,NVIDIA GeForce RTX 5090,2026-07-27T06:16:43
chest_xray_pneumonia,resnet50,TRADES,42,256,2,0.796875,0.62109375,0.62109375,0.62109375,False,0.641026,0.0313725769519805,1458.7,92.4,NVIDIA GeForce RTX 5090,2026-07-27T06:42:38
chest_xray_pneumonia,resnet50,MART,43,256,2,0.79296875,0.609375,0.609375,0.609375,False,0.626603,0.0313725769519805,1441.1,92.1,NVIDIA GeForce RTX 5090,2026-07-27T07:08:15
chest_xray_pneumonia,resnet50,PGD-AT,43,256,2,0.84765625,0.4921875,0.51953125,0.4921875,True,0.514423,0.0313725769519805,1218.2,91.9,NVIDIA GeForce RTX 5090,2026-07-27T07:30:09
chest_xray_pneumonia,resnet50,TRADES,43,256,2,0.76171875,0.6484375,0.6484375,0.6484375,False,0.653846,0.0313725769519805,1548.7,93.6,NVIDIA GeForce RTX 5090,2026-07-27T07:57:35
chest_xray_pneumonia,resnet50,MART,44,256,2,0.76953125,0.61328125,0.61328125,0.61328125,False,0.642628,0.0313725769519805,1492.0,91.7,NVIDIA GeForce RTX 5090,2026-07-27T08:24:02
chest_xray_pneumonia,resnet50,PGD-AT,44,256,2,0.625,0.00390625,0.078125,0.00390625,True,0.089744,0.0313725769519805,110.1,92.3,NVIDIA GeForce RTX 5090,2026-07-27T08:27:28
chest_xray_pneumonia,resnet50,TRADES,44,256,2,0.81640625,0.609375,0.61328125,0.609375,True,0.637821,0.0313725769519805,1461.0,87.7,NVIDIA GeForce RTX 5090,2026-07-27T08:53:21
