dataset,dataset_label,model,model_label,params_m,accuracy_mean,accuracy_sd,accuracy_n,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_n,macro_f1_mean,macro_f1_sd,macro_f1_n,auroc_mean,auroc_sd,auroc_n,normalized_log_epsilon_auc_mean,normalized_log_epsilon_auc_sd,normalized_log_epsilon_auc_n,robust_accuracy_0.1_255_mean,robust_accuracy_0.1_255_sd,robust_accuracy_0.1_255_n,robust_accuracy_8_255_mean,robust_accuracy_8_255_sd,robust_accuracy_8_255_n,relative_accuracy_drop_8_255_mean,relative_accuracy_drop_8_255_sd,relative_accuracy_drop_8_255_n,max_pgd_rebound_mean,max_pgd_rebound_sd,max_pgd_rebound_n,critical_epsilon_255_mean,critical_epsilon_255_sd,critical_epsilon_255_n_observed,critical_epsilon_255_n_censored,n_seeds,n_monotonic_adjustments
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,11.7,0.8125,0.013970829947245762,3,0.7508547008547009,0.01874505316193274,3,0.7686620675195045,0.020616450129221867,3,0.9572850463876105,0.0064387960739423,3,0.02307808006325902,0.0036299881907332385,3,0.3649983284280951,0.05657932101983483,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.10000000000000002,1.6996749443881478e-17,3,0,3,0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,21.8,0.8333333333333334,0.016264249303032406,3,0.778917378917379,0.022066901864292825,3,0.7988557524025423,0.02326000430510969,3,0.952372342756958,0.013072249516810595,3,0.030944521895221972,0.017877416929271153,3,0.37190881794944336,0.15659187713944944,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.11666666666666665,0.02886751345948128,3,0,3,0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,25.6,0.8685897435897436,0.02623510503805274,3,0.827065527065527,0.03484762583480886,3,0.8468006827216397,0.03351797749586179,3,0.9725893052816129,0.004583867392831134,3,0.0013303922973864747,0.0013661054156287307,3,0.024954805623950607,0.01998576253105932,3,0.0,0.0,3,1.0,0.0,3,0.1433080808080808,0.24821687709478232,3,0.10000000000000002,1.6996749443881478e-17,3,0,3,2
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,44.5,0.826923076923077,0.012719958226272088,3,0.7715099715099715,0.01793005405961895,3,0.7907653804810546,0.01860398889512412,3,0.9604810431733508,0.0016463652876256855,3,0.005485295612693915,0.003986329317283715,3,0.06175449517038784,0.03927844615926147,3,0.0,0.0,3,1.0,0.0,3,0.03586832003756669,0.04121098665633612,3,0.10000000000000002,1.6996749443881478e-17,3,0,3,4
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,60.2,0.8392094017094017,0.012028130608117216,3,0.7873219373219373,0.017308131963041713,3,0.807543585859175,0.01747909834224497,3,0.9647746365695085,0.004574458343183656,3,0.050266851643180434,0.03830788848299121,3,0.3767442027626413,0.10355843131600333,3,0.0,0.0,3,1.0,0.0,3,0.024164642064758515,0.0402344748522269,3,0.10000000000000002,1.6996749443881478e-17,3,0,3,2
malaria,Malaria,resnet18,ResNet-18,11.7,0.9716903229681454,0.010477534036183865,3,0.9724638907183275,0.009752579119926833,3,0.9713334379842494,0.010709261303414512,3,0.9947496954667053,0.00268962268141219,3,0.23097923842183096,0.026452629048316016,3,0.9452922192818859,0.018000470704996344,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.5,0.0,3,0,3,0
malaria,Malaria,resnet34,ResNet-34,21.8,0.971723086637858,0.011929555524656467,3,0.9720369508735885,0.011158678299834827,3,0.97133165818631,0.012234279201327778,3,0.9935964495571392,0.0034809337270466085,3,0.1543835233166102,0.03563141862802676,3,0.8658665650664634,0.053356112980350215,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.31666666666666665,0.16072751268321592,3,0,3,0
malaria,Malaria,resnet50,ResNet-50,25.6,0.9705485431507155,0.008441311997013002,3,0.9710931831068734,0.007991425189957845,3,0.9701613183856788,0.008703702023407547,3,0.9942058691913411,0.002503007062674104,3,0.10152867690902682,0.004059437901985639,3,0.7512942982052312,0.007331973655958082,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.20000000000000004,3.3993498887762956e-17,3,0,3,0
malaria,Malaria,resnet101,ResNet-101,44.5,0.9712524856294111,0.009628174304015677,3,0.9712579378520697,0.008976390180909283,3,0.970842839813424,0.00989720975301395,3,0.9939711691271585,0.004259816747667744,3,0.08879334634307906,0.03530440443326152,3,0.6437912303390699,0.09667644106025301,3,0.0,0.0,3,1.0,0.0,3,0.0003303600925008259,0.0005722004650045846,3,0.16666666666666666,0.028867513459481298,3,0,3,1
malaria,Malaria,resnet152,ResNet-152,60.2,0.9722705781595588,0.00782439908151705,3,0.972406163657792,0.007172181926484093,3,0.9718823090077581,0.008084190680941771,3,0.9944087347486215,0.002436166958705454,3,0.2744692126110512,0.01658942827442221,3,0.9507419971701182,0.01615653200671205,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.5,0.0,3,0,3,0
oct2017,OCT,resnet18,ResNet-18,11.7,0.9955234159779613,0.0015780219335247512,3,0.9955234159779613,0.0015780219335247512,3,0.9955240657486888,0.0015789823668863868,3,0.9999701181613277,2.0173722876933102e-05,3,0.039379473561749256,0.01700355422237092,3,0.47394612991972873,0.08979791627628053,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.11666666666666665,0.02886751345948128,3,0,3,0
oct2017,OCT,resnet34,ResNet-34,21.8,0.9962121212121212,0.001192872457003323,3,0.9962121212121212,0.001192872457003323,3,0.9962141234075151,0.0011891983118585596,3,0.9999900393871094,3.7647578020455585e-06,3,0.03581146957843346,0.009406739407280772,3,0.38917674150834775,0.0654103513521496,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.10000000000000002,1.6996749443881478e-17,3,0,3,0
oct2017,OCT,resnet50,ResNet-50,25.6,0.9962121212121212,0.0031560438670494902,3,0.9962121212121212,0.0031560438670495024,3,0.9962176257332057,0.003147014857729174,3,0.9999535171398432,5.731365006875296e-05,3,0.01638199170636908,0.012723381292996536,3,0.18959629667459152,0.11848892929295063,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.10000000000000002,1.6996749443881478e-17,3,0,3,0
oct2017,OCT,resnet101,ResNet-101,44.5,0.9965564738292011,0.0015780219335246907,3,0.9965564738292011,0.001578021933524739,3,0.9965549846907537,0.0015803466953279485,3,0.9999824503487162,1.3673109101348215e-05,3,0.021847954274231224,0.017706717535320337,3,0.1735589002625234,0.09221632770852851,3,0.0006922810661128418,0.001199065979625391,3,0.9993077189338871,0.0011990659796254125,3,0.0006922810661128418,0.001199065979625391,3,0.10000000000000002,1.6996749443881478e-17,3,0,3,1
oct2017,OCT,resnet152,ResNet-152,60.2,0.9972451790633609,0.0005964362285016615,3,0.997245179063361,0.0005964362285016936,3,0.9972465241934989,0.0005952446568713345,3,0.9999962054808037,5.38718168328284e-06,3,0.06780716390606334,0.01289417323598186,3,0.6091190279520985,0.06160291417576337,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,3,0.15,0.0,3,0,3,0
