dataset,dataset_label,model,model_label,defense,n_seeds,n_success,n_success_over_3,n_partial,n_collapsed,collapse_status,seed_regimes,clean_accuracy_all_mean,clean_accuracy_all_sd,robust_accuracy_8_255_all_mean,robust_accuracy_8_255_all_sd,clean_robust_gap_all,clean_accuracy_success_mean,clean_accuracy_success_sd,robust_accuracy_8_255_success_mean,robust_accuracy_8_255_success_sd,clean_robust_gap_success
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,PGD-AT,3,0,0/3,0,3,0 success; 0 partial; 3 collapsed,seed42:collapsed;seed43:collapsed;seed44:collapsed,0.6212606837606838,0.006476685712063087,0.0,0.0,0.6212606837606838,,,,,
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.7414529914529915,0.028140100835610957,0.6217948717948718,0.008479972150848017,0.11965811965811968,0.7414529914529915,0.028140100835610957,0.6217948717948718,0.008479972150848017,0.11965811965811968
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,MART,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.7996794871794872,0.016264249303032406,0.6276709401709402,0.0037009632640360494,0.17200854700854706,0.7996794871794872,0.016264249303032406,0.6276709401709402,0.0037009632640360494,0.17200854700854706
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,PGD-AT,3,0,0/3,0,3,0 success; 0 partial; 3 collapsed,seed42:collapsed;seed43:collapsed;seed44:collapsed,0.6137820512820512,0.008479972150848059,0.0,0.0,0.6137820512820512,,,,,
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,PGD-AT,3,2,2/3,0,1,2 success; 0 partial; 1 collapsed,seed42:success;seed43:success;seed44:collapsed,0.7366452991452993,0.09615829761775699,0.37019230769230765,0.24290875626961725,0.36645299145299165,0.7916666666666667,0.018130943107347388,0.5104166666666666,0.005665919721046034,0.2812500000000001
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.798076923076923,0.022263532034374672,0.6442307692307693,0.008479972150848059,0.15384615384615374,0.798076923076923,0.022263532034374672,0.6442307692307693,0.008479972150848059,0.15384615384615374
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,MART,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.8023504273504273,0.02175791864788065,0.6276709401709403,0.014452723566740053,0.174679487179487,0.8023504273504273,0.02175791864788065,0.6276709401709403,0.014452723566740053,0.174679487179487
chest_xray_pneumonia,Chest X-ray,resnet101,ResNet-101,PGD-AT,3,0,0/3,0,3,0 success; 0 partial; 3 collapsed,seed42:collapsed;seed43:collapsed;seed44:collapsed,0.4599358974358974,0.14296991621596758,0.0,0.0,0.4599358974358974,,,,,
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,PGD-AT,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.8290598290598291,0.01621152874518539,0.6650641025641025,0.016884060501366566,0.16399572649572658,0.8290598290598291,0.01621152874518539,0.6650641025641025,0.016884060501366566,0.16399572649572658
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.7521367521367521,0.02610425581809962,0.657051282051282,0.0,0.09508547008547008,0.7521367521367521,0.02610425581809962,0.657051282051282,0.0,0.09508547008547008
chest_xray_pneumonia,Chest X-ray,resnet152,ResNet-152,MART,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.8210470085470085,0.016132124861689637,0.6912393162393163,0.018984354320423995,0.12980769230769218,0.8210470085470085,0.016132124861689637,0.6912393162393163,0.018984354320423995,0.12980769230769218
malaria,Malaria,resnet18,ResNet-18,PGD-AT,3,0,0/3,0,3,0 success; 0 partial; 3 collapsed,seed42:collapsed;seed43:collapsed;seed44:collapsed,0.4436848958333333,0.021043354633976545,0.020833333333333332,0.03035732664592256,0.4228515625,,,,,
malaria,Malaria,resnet18,ResNet-18,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.9641927083333334,0.015574054314981363,0.92578125,0.025258822571049926,0.03841145833333337,0.9641927083333334,0.015574054314981363,0.92578125,0.025258822571049926,0.03841145833333337
malaria,Malaria,resnet18,ResNet-18,MART,3,2,2/3,0,1,2 success; 0 partial; 1 collapsed,seed42:success;seed43:success;seed44:collapsed,0.7796223958333334,0.2895410374186129,0.5970052083333334,0.5172291472877727,0.1826171875,0.94677734375,0.004833737762017415,0.8955078125,0.020716018980074635,0.05126953125
malaria,Malaria,resnet34,ResNet-34,PGD-AT,3,1,1/3,0,2,1 success; 0 partial; 2 collapsed,seed42:collapsed;seed43:success;seed44:collapsed,0.6207682291666666,0.2879788819447119,0.2923177083333333,0.4987035473803642,0.3284505208333333,0.953125,0.0,0.8681640625,0.0,0.0849609375
malaria,Malaria,resnet50,ResNet-50,PGD-AT,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.9680989583333334,0.013330465644168796,0.9186197916666666,0.027349562254290322,0.04947916666666674,0.9680989583333334,0.013330465644168796,0.9186197916666666,0.027349562254290322,0.04947916666666674
malaria,Malaria,resnet50,ResNet-50,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.96484375,0.015716286073663165,0.9235026041666666,0.0207236901593711,0.04134114583333337,0.96484375,0.015716286073663165,0.9235026041666666,0.0207236901593711,0.04134114583333337
malaria,Malaria,resnet50,ResNet-50,MART,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.9638671875,0.017026948998205758,0.916015625,0.03129574288859779,0.0478515625,0.9638671875,0.017026948998205758,0.916015625,0.03129574288859779,0.0478515625
malaria,Malaria,resnet101,ResNet-101,PGD-AT,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.9664713541666666,0.016379877116418133,0.8483072916666666,0.07760037065135619,0.1181640625,0.9664713541666666,0.016379877116418133,0.8483072916666666,0.07760037065135619,0.1181640625
malaria,Malaria,resnet152,ResNet-152,PGD-AT,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.970703125,0.0126953125,0.921875,0.0205078125,0.048828125,0.970703125,0.0126953125,0.921875,0.0205078125,0.048828125
malaria,Malaria,resnet152,ResNet-152,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.958984375,0.016428324063731174,0.9085286458333334,0.020884134026491457,0.05045572916666663,0.958984375,0.016428324063731174,0.9085286458333334,0.020884134026491457,0.05045572916666663
malaria,Malaria,resnet152,ResNet-152,MART,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.9645182291666666,0.02025827849284064,0.9251302083333334,0.027696065457559618,0.03938802083333326,0.9645182291666666,0.02025827849284064,0.9251302083333334,0.027696065457559618,0.03938802083333326
oct2017,OCT,resnet18,ResNet-18,PGD-AT,3,0,0/3,2,1,0 success; 2 partial; 1 collapsed,seed42:partial;seed43:partial;seed44:collapsed,0.4586776859504132,0.23873249467996419,0.20557851239669422,0.16905258668357656,0.25309917355371897,,,,,
oct2017,OCT,resnet18,ResNet-18,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.7482782369146005,0.05643497117758023,0.6522038567493113,0.024234694641753325,0.09607438016528924,0.7482782369146005,0.05643497117758023,0.6522038567493113,0.024234694641753325,0.09607438016528924
oct2017,OCT,resnet18,ResNet-18,MART,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.8794765840220385,0.005301241156453402,0.7479338842975207,0.01191380433333763,0.13154269972451782,0.8794765840220385,0.005301241156453402,0.7479338842975207,0.01191380433333763,0.13154269972451782
oct2017,OCT,resnet34,ResNet-34,PGD-AT,3,0,0/3,0,3,0 success; 0 partial; 3 collapsed,seed42:collapsed;seed43:collapsed;seed44:collapsed,0.2537878787878788,0.005689638995130277,0.0003443526170798898,0.0005964362285016795,0.2534435261707989,,,,,
oct2017,OCT,resnet50,ResNet-50,PGD-AT,3,2,2/3,0,1,2 success; 0 partial; 1 collapsed,seed42:success;seed43:success;seed44:collapsed,0.6305096418732782,0.3719543885518623,0.4714187327823691,0.4128631351903971,0.15909090909090906,0.8378099173553719,0.1373306558502799,0.7066115702479339,0.09496268755604456,0.13119834710743805
oct2017,OCT,resnet50,ResNet-50,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.8381542699724518,0.008786054285243192,0.709366391184573,0.015541713631400507,0.12878787878787878,0.8381542699724518,0.008786054285243192,0.709366391184573,0.015541713631400507,0.12878787878787878
oct2017,OCT,resnet50,ResNet-50,MART,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.9304407713498621,0.008413768404180904,0.8202479338842975,0.014314469484040325,0.11019283746556463,0.9304407713498621,0.008413768404180904,0.8202479338842975,0.014314469484040325,0.11019283746556463
oct2017,OCT,resnet101,ResNet-101,PGD-AT,3,1,1/3,0,2,1 success; 0 partial; 2 collapsed,seed42:collapsed;seed43:collapsed;seed44:success,0.5630165289256198,0.3560814198029116,0.28236914600550966,0.4774944180011693,0.28064738292011016,0.9504132231404959,0.0,0.8336776859504132,0.0,0.11673553719008267
oct2017,OCT,resnet152,ResNet-152,PGD-AT,3,1,1/3,0,2,1 success; 0 partial; 2 collapsed,seed42:collapsed;seed43:success;seed44:collapsed,0.4889807162534436,0.39614277774237366,0.3033746556473829,0.4700473768265652,0.18560606060606066,0.9462809917355371,0.0,0.8460743801652892,0.0,0.1002066115702479
oct2017,OCT,resnet152,ResNet-152,TRADES,3,3,3/3,0,0,3 success; 0 partial; 0 collapsed,seed42:success;seed43:success;seed44:success,0.9018595041322314,0.012902888426442981,0.7241735537190083,0.030100831165978233,0.1776859504132231,0.9018595041322314,0.012902888426442981,0.7241735537190083,0.030100831165978233,0.1776859504132231
