dataset,model,seed,nauc_fgsm,eps_crit_fgsm,nauc_pgd,eps_crit_pgd,nauc_attack_set_min,eps_crit_attack_set_min,nauc_audited_envelope,eps_crit_audited_envelope
chest_xray_pneumonia,resnet101,seed42,0.6900011964343639,16.0,0.010033925895680834,0.1,0.010033925895680834,0.1,0.00951363619054376,0.1
chest_xray_pneumonia,resnet101,seed43,0.758575926145794,,0.0030066152758881017,0.1,0.0030066152758881017,0.1,0.0015423496583605188,0.1
chest_xray_pneumonia,resnet101,seed44,0.7257989108556829,,0.01142531485381632,0.1,0.01142531485381632,0.1,0.0053999009891774205,0.1
chest_xray_pneumonia,resnet152,seed42,0.7171308416792533,,0.023426996385491717,0.1,0.023426996385491717,0.1,0.023426996385491717,0.1
chest_xray_pneumonia,resnet152,seed43,0.6955695822930679,,0.03336524324540241,0.1,0.03336524324540241,0.1,0.03323664056404791,0.1
chest_xray_pneumonia,resnet152,seed44,0.7167848825261456,,0.09895878225590221,0.1,0.09895878225590221,0.1,0.09413691798000161,0.1
chest_xray_pneumonia,resnet18,seed42,0.6519460199828446,,0.02277945735532917,0.1,0.02277945735532917,0.1,0.02277945735532917,0.1
chest_xray_pneumonia,resnet18,seed43,0.6606366175303577,,0.01960662732333515,0.1,0.01960662732333515,0.1,0.01960662732333515,0.1
chest_xray_pneumonia,resnet18,seed44,0.6676786232710118,,0.02684815551111272,0.1,0.02684815551111272,0.1,0.02684815551111272,0.1
chest_xray_pneumonia,resnet34,seed42,0.5795698188861417,16.0,0.013773024331959014,0.1,0.013773024331959014,0.1,0.013773024331959014,0.1
chest_xray_pneumonia,resnet34,seed43,0.7341200920290033,,0.04945281015216579,0.15,0.04945281015216579,0.15,0.04945281015216579,0.15
chest_xray_pneumonia,resnet34,seed44,0.7044013492759532,,0.029607731201541095,0.1,0.029607731201541095,0.1,0.029607731201541095,0.1
chest_xray_pneumonia,resnet50,seed42,0.7081839146838699,,0.09394272570940679,0.1,0.09394272570940679,0.1,0.002892027310418698,0.1
chest_xray_pneumonia,resnet50,seed43,0.6774560273229325,,0.0003566601175974085,0.1,0.0003566601175974085,0.1,0.0003566601175974085,0.1
chest_xray_pneumonia,resnet50,seed44,0.7066020405504685,,0.0007424894641433048,0.1,0.0007424894641433048,0.1,0.0007424894641433048,0.1
malaria,resnet101,seed42,0.8770540668261023,,0.1272488912457485,0.2,0.1272488912457485,0.2,0.1272488912457485,0.2
malaria,resnet101,seed43,0.8128681386089264,16.0,0.057848950143139295,0.15,0.057848950143139295,0.15,0.057848950143139295,0.15
malaria,resnet101,seed44,0.9247830721436467,,0.08134987655392635,0.15,0.08134987655392635,0.15,0.0812821976403493,0.15
malaria,resnet152,seed42,0.8779122954786351,,0.26756632329096136,0.5,0.26756632329096136,0.5,0.26756632329096136,0.5
malaria,resnet152,seed43,0.8327696297448833,,0.2624457834509921,0.5,0.2624457834509921,0.5,0.2624457834509921,0.5
malaria,resnet152,seed44,0.8822715826150965,,0.29339553109120015,0.5,0.29339553109120015,0.5,0.29339553109120015,0.5
malaria,resnet18,seed42,0.7679388792086348,,0.20473799378355345,0.5,0.20473799378355345,0.5,0.20473799378355345,0.5
malaria,resnet18,seed43,0.8291324944159253,,0.25763830206349153,0.5,0.25763830206349153,0.5,0.25763830206349153,0.5
malaria,resnet18,seed44,0.824897708277398,,0.2305614194184479,0.5,0.2305614194184479,0.5,0.2305614194184479,0.5
malaria,resnet34,seed42,0.7472751238136395,,0.14000335861212654,0.25,0.14000335861212654,0.25,0.14000335861212654,0.25
malaria,resnet34,seed43,0.7553514635201797,,0.12818938573263614,0.2,0.12818938573263614,0.2,0.12818938573263614,0.2
malaria,resnet34,seed44,0.8532400117739862,,0.1949578256050679,0.5,0.1949578256050679,0.5,0.1949578256050679,0.5
malaria,resnet50,seed42,0.8177715980098512,,0.1014064435704307,0.2,0.1014064435704307,0.2,0.1014064435704307,0.2
malaria,resnet50,seed43,0.8308604551312694,,0.0975317361196041,0.2,0.0975317361196041,0.2,0.0975317361196041,0.2
malaria,resnet50,seed44,0.8226613443962687,,0.10564785103704563,0.2,0.10564785103704563,0.2,0.10564785103704563,0.2
oct2017,resnet101,seed42,0.7664632848023103,8.0,0.04129103508986086,0.1,0.04129103508986086,0.1,0.04100738805434999,0.1
oct2017,resnet101,seed43,0.7610309827810147,8.0,0.006086415743704278,0.1,0.006086415743704278,0.1,0.006086415743704278,0.1
oct2017,resnet101,seed44,0.7064596848590621,8.0,0.01845005902463934,0.1,0.01845005902463934,0.1,0.01845005902463934,0.1
oct2017,resnet152,seed42,0.815476336966075,,0.07155695727878701,0.15,0.07155695727878701,0.15,0.07155695727878701,0.15
oct2017,resnet152,seed43,0.796821902175854,16.0,0.05345372601145444,0.15,0.05345372601145444,0.15,0.05345372601145444,0.15
oct2017,resnet152,seed44,0.7580975965722102,16.0,0.07841080842794848,0.15,0.07841080842794848,0.15,0.07841080842794848,0.15
oct2017,resnet18,seed42,0.5819188956332694,8.0,0.058406225669292836,0.15,0.058406225669292836,0.15,0.058406225669292836,0.15
oct2017,resnet18,seed43,0.5837190575478747,16.0,0.025669922538833333,0.1,0.025669922538833333,0.1,0.025669922538833333,0.1
oct2017,resnet18,seed44,0.605630225005142,16.0,0.03406227247712155,0.1,0.03406227247712155,0.1,0.03406227247712155,0.1
oct2017,resnet34,seed42,0.7119319701592023,16.0,0.04666101544911434,0.1,0.04666101544911434,0.1,0.04666101544911434,0.1
oct2017,resnet34,seed43,0.7346730307834957,16.0,0.030836432205932292,0.1,0.030836432205932292,0.1,0.030836432205932292,0.1
oct2017,resnet34,seed44,0.6953416086761868,16.0,0.029936961080253694,0.1,0.029936961080253694,0.1,0.029936961080253694,0.1
oct2017,resnet50,seed42,0.7163940454496377,8.0,0.03106826535257312,0.1,0.03106826535257312,0.1,0.03106826535257312,0.1
oct2017,resnet50,seed43,0.741718644926545,8.0,0.009384479417383431,0.1,0.009384479417383431,0.1,0.009384479417383431,0.1
oct2017,resnet50,seed44,0.7660148172820839,16.0,0.008693230349150644,0.1,0.008693230349150644,0.1,0.008693230349150644,0.1
