dataset,model,defense,seed,clean,robust8,collapsed,path
chest_xray_pneumonia,resnet18,TRADES,seed42,0.7708333333333334,0.6185897435897436,False,results/chest_xray_pneumonia/resnet18/defense_TRADES/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet18,TRADES,seed43,0.7387820512820513,0.6314102564102564,False,results/chest_xray_pneumonia/resnet18/defense_TRADES/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet18,TRADES,seed44,0.7147435897435898,0.6153846153846154,False,results/chest_xray_pneumonia/resnet18/defense_TRADES/seed44/defense_results_max1024.json
chest_xray_pneumonia,resnet18,MART,seed42,0.782051282051282,0.6298076923076923,False,results/chest_xray_pneumonia/resnet18/defense_MART/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet18,MART,seed43,0.8141025641025641,0.6298076923076923,False,results/chest_xray_pneumonia/resnet18/defense_MART/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet18,MART,seed44,0.8028846153846154,0.6233974358974359,False,results/chest_xray_pneumonia/resnet18/defense_MART/seed44/defense_results_max1024.json
chest_xray_pneumonia,resnet18,PGD-AT,seed42,0.6137820512820513,0.0,True,results/chest_xray_pneumonia/resnet18/defense_PGD-AT/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet18,PGD-AT,seed43,0.625,0.0,True,results/chest_xray_pneumonia/resnet18/defense_PGD-AT/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet50,PGD-AT,seed42,0.7788461538461539,0.5064102564102564,False,results/chest_xray_pneumonia/resnet50/defense_PGD-AT/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet50,PGD-AT,seed43,0.8044871794871795,0.5144230769230769,False,results/chest_xray_pneumonia/resnet50/defense_PGD-AT/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet50,PGD-AT,seed44,0.6266025641025641,0.08974358974358974,True,results/chest_xray_pneumonia/resnet50/defense_PGD-AT/seed44/defense_results_max1024.json
chest_xray_pneumonia,resnet50,TRADES,seed42,0.8092948717948718,0.6410256410256411,False,results/chest_xray_pneumonia/resnet50/defense_TRADES/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet50,TRADES,seed43,0.7724358974358975,0.6538461538461539,False,results/chest_xray_pneumonia/resnet50/defense_TRADES/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet50,TRADES,seed44,0.8125,0.6378205128205128,False,results/chest_xray_pneumonia/resnet50/defense_TRADES/seed44/defense_results_max1024.json
chest_xray_pneumonia,resnet50,MART,seed42,0.8157051282051282,0.6137820512820513,False,results/chest_xray_pneumonia/resnet50/defense_MART/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet50,MART,seed43,0.8141025641025641,0.6266025641025641,False,results/chest_xray_pneumonia/resnet50/defense_MART/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet50,MART,seed44,0.7772435897435898,0.6426282051282052,False,results/chest_xray_pneumonia/resnet50/defense_MART/seed44/defense_results_max1024.json
chest_xray_pneumonia,resnet152,PGD-AT,seed42,0.8189102564102564,0.6490384615384616,False,results/chest_xray_pneumonia/resnet152/defense_PGD-AT/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet152,PGD-AT,seed43,0.8477564102564102,0.6826923076923077,False,results/chest_xray_pneumonia/resnet152/defense_PGD-AT/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet152,PGD-AT,seed44,0.8205128205128205,0.6634615384615384,False,results/chest_xray_pneumonia/resnet152/defense_PGD-AT/seed44/defense_results_max1024.json
chest_xray_pneumonia,resnet152,TRADES,seed42,0.782051282051282,0.657051282051282,False,results/chest_xray_pneumonia/resnet152/defense_TRADES/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet152,TRADES,seed43,0.7339743589743589,0.657051282051282,False,results/chest_xray_pneumonia/resnet152/defense_TRADES/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet152,TRADES,seed44,0.7403846153846154,0.657051282051282,False,results/chest_xray_pneumonia/resnet152/defense_TRADES/seed44/defense_results_max1024.json
chest_xray_pneumonia,resnet152,MART,seed42,0.8381410256410257,0.7131410256410257,False,results/chest_xray_pneumonia/resnet152/defense_MART/seed42/defense_results_max1024.json
chest_xray_pneumonia,resnet152,MART,seed43,0.8060897435897436,0.6794871794871795,False,results/chest_xray_pneumonia/resnet152/defense_MART/seed43/defense_results_max1024.json
chest_xray_pneumonia,resnet152,MART,seed44,0.8189102564102564,0.6810897435897436,False,results/chest_xray_pneumonia/resnet152/defense_MART/seed44/defense_results_max1024.json
malaria,resnet50,PGD-AT,seed42,0.9619140625,0.9033203125,False,results/malaria/resnet50/defense_PGD-AT/seed42/defense_results_max1024.json
malaria,resnet50,PGD-AT,seed43,0.958984375,0.90234375,False,results/malaria/resnet50/defense_PGD-AT/seed43/defense_results_max1024.json
malaria,resnet50,PGD-AT,seed44,0.9833984375,0.9501953125,False,results/malaria/resnet50/defense_PGD-AT/seed44/defense_results_max1024.json
malaria,resnet50,TRADES,seed42,0.9521484375,0.9140625,False,results/malaria/resnet50/defense_TRADES/seed42/defense_results_max1024.json
malaria,resnet50,TRADES,seed43,0.9599609375,0.9091796875,False,results/malaria/resnet50/defense_TRADES/seed43/defense_results_max1024.json
malaria,resnet50,TRADES,seed44,0.982421875,0.947265625,False,results/malaria/resnet50/defense_TRADES/seed44/defense_results_max1024.json
malaria,resnet50,MART,seed42,0.9521484375,0.8984375,False,results/malaria/resnet50/defense_MART/seed42/defense_results_max1024.json
malaria,resnet50,MART,seed43,0.9560546875,0.8974609375,False,results/malaria/resnet50/defense_MART/seed43/defense_results_max1024.json
malaria,resnet50,MART,seed44,0.9833984375,0.9521484375,False,results/malaria/resnet50/defense_MART/seed44/defense_results_max1024.json
malaria,resnet101,PGD-AT,seed42,0.9560546875,0.8896484375,False,results/malaria/resnet101/defense_PGD-AT/seed42/defense_results_max1024.json
malaria,resnet101,PGD-AT,seed43,0.9580078125,0.896484375,False,results/malaria/resnet101/defense_PGD-AT/seed43/defense_results_max1024.json
malaria,resnet101,PGD-AT,seed44,0.9853515625,0.7587890625,False,results/malaria/resnet101/defense_PGD-AT/seed44/defense_results_max1024.json
malaria,resnet152,PGD-AT,seed42,0.962890625,0.9130859375,False,results/malaria/resnet152/defense_PGD-AT/seed42/defense_results_max1024.json
malaria,resnet152,PGD-AT,seed43,0.9638671875,0.9072265625,False,results/malaria/resnet152/defense_PGD-AT/seed43/defense_results_max1024.json
malaria,resnet152,PGD-AT,seed44,0.9853515625,0.9453125,False,results/malaria/resnet152/defense_PGD-AT/seed44/defense_results_max1024.json
malaria,resnet152,TRADES,seed42,0.953125,0.9130859375,False,results/malaria/resnet152/defense_TRADES/seed42/defense_results_max1024.json
malaria,resnet152,TRADES,seed43,0.9462890625,0.8857421875,False,results/malaria/resnet152/defense_TRADES/seed43/defense_results_max1024.json
malaria,resnet152,TRADES,seed44,0.9775390625,0.9267578125,False,results/malaria/resnet152/defense_TRADES/seed44/defense_results_max1024.json
malaria,resnet152,MART,seed42,0.9462890625,0.9111328125,False,results/malaria/resnet152/defense_MART/seed42/defense_results_max1024.json
malaria,resnet152,MART,seed43,0.9609375,0.9072265625,False,results/malaria/resnet152/defense_MART/seed43/defense_results_max1024.json
malaria,resnet152,MART,seed44,0.986328125,0.95703125,False,results/malaria/resnet152/defense_MART/seed44/defense_results_max1024.json
oct2017,resnet50,PGD-AT,seed42,0.7407024793388429,0.6394628099173554,False,results/oct2017/resnet50/defense_PGD-AT/seed42/defense_results_max1024.json
oct2017,resnet50,PGD-AT,seed43,0.9349173553719008,0.7737603305785123,False,results/oct2017/resnet50/defense_PGD-AT/seed43/defense_results_max1024.json
oct2017,resnet50,PGD-AT,seed44,0.2159090909090909,0.0010330578512396695,True,results/oct2017/resnet50/defense_PGD-AT/seed44/defense_results_max1024.json
oct2017,resnet50,TRADES,seed42,0.8316115702479339,0.7014462809917356,False,results/oct2017/resnet50/defense_TRADES/seed42/defense_results_max1024.json
oct2017,resnet50,TRADES,seed43,0.8481404958677686,0.7272727272727273,False,results/oct2017/resnet50/defense_TRADES/seed43/defense_results_max1024.json
oct2017,resnet50,TRADES,seed44,0.8347107438016529,0.6993801652892562,False,results/oct2017/resnet50/defense_TRADES/seed44/defense_results_max1024.json
oct2017,resnet50,MART,seed42,0.9400826446280992,0.8367768595041323,False,results/oct2017/resnet50/defense_MART/seed42/defense_results_max1024.json
